symptoms,disease
sore throat fever muscle pain,flu
blisters scab lesions fever,chickenpox
sneezing runny nose mild cough,cold
palpitations nervousness restlessness trouble sleeping,anxiety
fever dry cough anosmia loss of taste,covid19
fever sore throat painful swallowing swollen lymph nodes,strep_throat
loss of taste shortness of breath dry cough,covid19
behind eye pain rash muscle pain,dengue
low body temperature slow breathing shivering,hypothermia
fatigue fainting low blood pressure,hypotension
low body temperature shivering slow breathing slurred speech,hypothermia
cough chest pain shortness of breath phlegm,pneumonia
stomach cramps low fever vomiting,gastroenteritis
hot dry skin rapid heartbeat very high fever nausea,heatstroke
very high fever nausea confusion,heatstroke
mucus mild fever cough,bronchitis
fatigue trouble sleeping irritability headache,stress
rapid heartbeat very high fever nausea,heatstroke
fatigue weakness shortness of breath,anemia
low fever vomiting stomach cramps nausea,gastroenteritis
fever swollen lymph nodes sore throat,strep_throat
fatigue fainting blurred vision low blood pressure,hypotension
vomiting stomach cramps nausea,gastroenteritis
palpitations restlessness sweating nervousness,anxiety
trouble sleeping restlessness nervousness palpitations sweating,anxiety
vomiting low fever nausea diarrhea,gastroenteritis
high fever joint pain rash severe headache,dengue
irritability fever ear drainage,ear_infection
fever scab lesions itchy rash fatigue,chickenpox
cough fever fatigue sore throat body ache,flu
fever white patches throat swollen lymph nodes painful swallowing,strep_throat
trouble sleeping headache fatigue,stress
runny nose cough fever,measles
shortness of breath cough wheezing,asthma_attack
increased thirst fatigue frequent urination slow healing,diabetes_high_sugar
thirst dry mouth fatigue dark urine dizziness,dehydration
night cough chest tightness cough wheezing,asthma_attack
fatigue headache trouble sleeping irritability muscle tension,stress
rapid heartbeat confusion very high fever,heatstroke
nausea bloating upper abdominal pain belching,indigestion
chills diarrhea nausea stomach pain,food_poisoning
blurred vision low blood pressure fatigue dizziness,hypotension
photophobia sensitivity to sound throbbing headache,migraine
dizziness pale skin fatigue shortness of breath weakness,anemia
fatigue scab lesions fever itchy rash,chickenpox
vomiting pain urination severe side pain,kidney_stones
fatigue cough chest discomfort,bronchitis
dizziness pale skin fatigue shortness of breath weakness,anemia
itchy eyes gritty feeling tearing eye discharge,conjunctivitis
worse after meals lying down worse sour taste acid reflux,heartburn
nausea low fever vomiting diarrhea,gastroenteritis
vomiting diarrhea nausea stomach pain,food_poisoning
dizziness dark urine thirst,dehydration
runny nose koplik spots cough fever,measles
dizziness vision problems headache,hypertension
severe headache rash high fever,dengue
sneezing mild cough stuffy nose,cold
high fever muscle pain tiredness,flu
worse after meals lying down worse sour taste,heartburn
pain urination vomiting severe side pain,kidney_stones
burning urination lower abdominal pain cloudy urine strong urine smell,UTI
very high fever confusion hot dry skin nausea,heatstroke
facial pain post nasal drip nasal congestion,sinusitis
restlessness sweating palpitations,anxiety
body ache fatigue dry cough sore throat high fever,flu
hot dry skin rapid heartbeat confusion,heatstroke
strong urine smell burning urination cloudy urine lower abdominal pain,UTI
tearing red eyes gritty feeling eye discharge,conjunctivitis
shortness of breath dizziness fatigue pale skin weakness,anemia
dry cough shortness of breath anosmia,covid19
mild fever fatigue chest discomfort,bronchitis
fever diarrhea abdominal pain,food_poisoning
cough koplik spots red eyes runny nose fever,measles
runny nose nasal congestion facial pain post nasal drip,sinusitis
sore throat fever painful swallowing,strep_throat
wheezing cough night cough chest tightness,asthma_attack
vomiting diarrhea nausea fever stomach pain,food_poisoning
fever hearing loss ear pain irritability ear drainage,ear_infection
loss of smell shortness of breath loss of taste fever,covid19
watery eyes runny nose mild cough sore throat,cold
restlessness palpitations sweating,anxiety
dry mouth fatigue thirst dark urine,dehydration
cloudy urine strong urine smell frequent urination lower abdominal pain burning urination,UTI
muscle tension headache irritability fatigue trouble sleeping,stress
sweating nausea chills headache,malaria
chest tightness cough night cough shortness of breath wheezing,asthma_attack
tiredness body ache cough sore throat fever,flu
headache sweating high fever,malaria
nasal congestion runny nose post nasal drip,sinusitis
severe headache joint pain rash,dengue
sour taste lying down worse burning chest acid reflux worse after meals,heartburn
fatigue frequent urination increased thirst,diabetes_high_sugar
loss of taste fever anosmia shortness of breath,covid19
headache nasal congestion runny nose facial pain,sinusitis
sore throat fatigue muscle pain dry cough,flu
skin rash sneezing red eyes,allergy
nausea blood in urine flank pain pain urination,kidney_stones
fever blisters fatigue,chickenpox
night cough wheezing shortness of breath chest tightness cough,asthma_attack
bloating fullness upper abdominal pain nausea,indigestion
itch red eyes sneezing runny nose,allergy
itchy eyes tearing eye discharge,conjunctivitis
cough phlegm fatigue mild fever chest discomfort,bronchitis
sore throat sneezing watery eyes,cold
fatigue thirst dark urine,dehydration
blurred vision increased thirst slow healing frequent urination,diabetes_high_sugar
fever blisters scab lesions itchy rash,chickenpox
weakness fatigue dizziness shortness of breath,anemia
restlessness trouble sleeping sweating palpitations,anxiety
dizziness shortness of breath weakness pale skin fatigue,anemia
shivering confusion low body temperature slurred speech,hypothermia
shortness of breath fever loss of smell loss of taste dry cough,covid19
fever vomiting nausea,food_poisoning
loss of taste loss of smell fever,covid19
upper abdominal pain bloating nausea fullness,indigestion
fever cough body ache sore throat tiredness,flu
post nasal drip nasal congestion facial pain,sinusitis
vision problems headache chest pain,hypertension
worse after meals acid reflux lying down worse,heartburn
blurred vision dizziness fatigue low blood pressure,hypotension
tearing gritty feeling itchy eyes,conjunctivitis
vision problems chest pain headache,hypertension
increased thirst fatigue frequent urination,diabetes_high_sugar
itchy rash blisters fatigue,chickenpox
frequent urination fatigue blurred vision slow healing,diabetes_high_sugar
scab lesions fatigue fever itchy rash,chickenpox
trouble sleeping restlessness nervousness palpitations,anxiety
vomiting low fever diarrhea stomach cramps,gastroenteritis
skin rash red eyes sneeze,allergy
night cough chest tightness shortness of breath,asthma_attack
sensitivity to sound throbbing headache photophobia,migraine
muscle tension irritability trouble sleeping,stress
mild fever chest discomfort cough,bronchitis
sneeze itching skin rash red eyes,allergy
trouble sleeping headache irritability muscle tension,stress
headache irritability muscle tension trouble sleeping,stress
high fever nausea chills sweating,malaria
vomiting nausea fever diarrhea stomach pain,food_poisoning
facial pain headache nasal congestion post nasal drip,sinusitis
low blood pressure blurred vision fatigue,hypotension
fever painful swallowing sore throat,strep_throat
sweating chills headache,malaria
aura sensitivity to light sensitivity to sound severe headache,migraine
fainting fatigue low blood pressure,hypotension
runny nose facial pain nasal congestion post nasal drip,sinusitis
cough fever body ache sore throat,flu
mild cough sore throat runny nose,cold
ear drainage irritability ear pain hearing loss fever,ear_infection
stuffy nose sneeze mild cough sore throat,cold
sensitivity to sound sensitivity to light aura nausea severe headache,migraine
burning urination lower abdominal pain strong urine smell frequent urination cloudy urine,UTI
slow healing increased thirst blurred vision frequent urination,diabetes_high_sugar
cough mild fever fatigue,bronchitis
burning chest worse after meals acid reflux lying down worse,heartburn
red eyes cough fever koplik spots,measles
fainting fatigue low blood pressure,hypotension
high fever severe headache behind eye pain rash,dengue
hot dry skin confusion nausea very high fever,heatstroke
cough red eyes fever runny nose koplik spots,measles
fatigue itchy rash scab lesions blisters fever,chickenpox
sour taste burning chest acid reflux lying down worse,heartburn
hot dry skin nausea very high fever rapid heartbeat,heatstroke
sensitivity to light nausea throbbing headache sensitivity to sound aura,migraine
eye discharge tearing gritty feeling itchy eyes,conjunctivitis
blood in urine vomiting severe side pain pain urination,kidney_stones
ear pain irritability fever ear drainage,ear_infection
fever ear pain ear drainage hearing loss,ear_infection
fever dry cough loss of taste shortness of breath,covid19
dizziness chest pain high blood pressure,hypertension
chills vomiting stomach pain diarrhea,food_poisoning
belching nausea upper abdominal pain bloating,indigestion
fatigue dizziness low blood pressure,hypotension
ear pain hearing loss fever,ear_infection
increased thirst frequent urination blurred vision slow healing,diabetes_high_sugar
high fever nausea chills,malaria
hot dry skin nausea very high fever rapid heartbeat,heatstroke
pain urination blood in urine flank pain vomiting nausea,kidney_stones
slow breathing shivering low body temperature,hypothermia
dizziness dry mouth dark urine fatigue thirst,dehydration
nausea vomiting flank pain blood in urine pain urination,kidney_stones
frequent urination fatigue slow healing,diabetes_high_sugar
rash joint pain behind eye pain high fever severe headache,dengue
dizziness thirst fatigue,dehydration
blurred vision fatigue increased thirst slow healing frequent urination,diabetes_high_sugar
sensitivity to sound sensitivity to light aura,migraine
burning urination strong urine smell frequent urination,UTI
runny nose red eyes fever cough,measles
blisters fatigue fever itchy rash,chickenpox
sweating chills high fever,malaria
photophobia severe headache sensitivity to sound,migraine
dizziness fatigue weakness shortness of breath,anemia
burning chest lying down worse acid reflux sour taste worse after meals,heartburn
trouble sleeping muscle tension fatigue,stress
headache high blood pressure dizziness vision problems,hypertension
dizziness fatigue dry mouth,dehydration
blurred vision frequent urination fatigue slow healing increased thirst,diabetes_high_sugar
nausea diarrhea low fever stomach cramps,gastroenteritis
restlessness nervousness trouble sleeping,anxiety
pain urination nausea blood in urine flank pain vomiting,kidney_stones
strong urine smell cloudy urine frequent urination,UTI
vomiting stomach cramps low fever diarrhea,gastroenteritis
nausea pain urination flank pain vomiting,kidney_stones
white patches throat sore throat painful swallowing fever,strep_throat
behind eye pain joint pain rash high fever severe headache,dengue
headache irritability muscle tension,stress
chills nausea high fever,malaria
cough koplik spots red eyes fever,measles
runny nose mild cough sore throat,cold
tearing gritty feeling itchy eyes eye discharge,conjunctivitis
nasal congestion facial pain runny nose post nasal drip,sinusitis
cough chest discomfort fatigue mucus,bronchitis
shortness of breath fever loss of taste,covid19
slurred speech low body temperature confusion shivering slow breathing,hypothermia
stomach cramps nausea low fever diarrhea,gastroenteritis
nervousness restlessness palpitations sweating trouble sleeping,anxiety
nausea blood in urine vomiting,kidney_stones
vomiting pain urination nausea blood in urine,kidney_stones
mucus mild fever cough fatigue,bronchitis
dizziness low blood pressure blurred vision fainting,hypotension
shortness of breath phlegm cough,pneumonia
itch sneeze runny nose,allergy
behind eye pain rash severe headache joint pain,dengue
chest pain dizziness headache high blood pressure,hypertension
headache chest pain dizziness,hypertension
belching upper abdominal pain fullness nausea,indigestion
white patches throat painful swallowing sore throat,strep_throat
fainting dizziness low blood pressure fatigue blurred vision,hypotension
tearing gritty feeling eye discharge,conjunctivitis
palpitations nervousness restlessness,anxiety
